symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,grossProfit,operatingExpenses,operatingIncome,researchAndDevelopment,sellingGeneralAndAdministrative,netIncome,grossMarginPct,revenueGrowthQoQPct,revenueGrowthYoYPct,operatingExpenseGrowthQoQPct,netIncomeGrowthQoQPct,operatingMarginPct,netProfitMarginPct,operatingExpenseRatioPct
AAPL,2005-09-30,USD,3678000000.0,2643000000.0,1035000000.0,617000000.0,418000000.0,147000000.0,470000000.0,430000000.0,28.140293637846657,,,,,11.364872213159325,11.691136487221316,16.77542142468733
AAPL,2005-12-31,USD,5749000000.0,4185000000.0,1564000000.0,814000000.0,750000000.0,182000000.0,632000000.0,565000000.0,27.20473125761002,56.30777596519847,,31.928687196110218,31.39534883720929,13.045747086449818,9.827796138458861,14.158984171160203
AAPL,2006-03-31,USD,4359000000.0,3062000000.0,1297000000.0,768000000.0,529000000.0,176000000.0,592000000.0,410000000.0,29.75453085570085,-24.178117933553665,,-5.651105651105648,-27.43362831858407,12.135810965817848,9.405827024546914,17.618719889883
AAPL,2006-06-30,USD,4370000000.0,3045000000.0,1325000000.0,759000000.0,566000000.0,175000000.0,584000000.0,472000000.0,30.320366132723116,0.252351456756128,,-1.171875,15.121951219512187,12.951945080091534,10.80091533180778,17.36842105263158
AAPL,2006-09-30,USD,4370000000.0,3425000000.0,1412000000.0,804000000.0,608000000.0,179000000.0,584000000.0,542000000.0,32.31121281464531,0.0,18.814573137574776,5.928853754940722,14.830508474576277,13.91304347826087,12.402745995423341,18.39816933638444
AAPL,2006-12-31,USD,7115000000.0,4895000000.0,2220000000.0,898000000.0,1322000000.0,184000000.0,714000000.0,1004000000.0,31.201686577652847,62.81464530892449,23.760654026787265,11.691542288557223,85.23985239852398,18.58046380885453,14.111033028812367,12.621222768798312
AAPL,2007-03-31,USD,5264000000.0,3415000000.0,1849000000.0,863000000.0,986000000.0,183000000.0,680000000.0,770000000.0,35.12537993920973,-26.015460295151094,20.76164257857307,-3.897550111358572,-23.306772908366536,18.731003039513677,14.627659574468085,16.39437689969605
AAPL,2007-06-30,USD,5410000000.0,3415000000.0,1995000000.0,954000000.0,1041000000.0,208000000.0,746000000.0,818000000.0,36.87615526802218,2.773556231003038,23.79862700228832,10.544611819235229,6.233766233766236,19.24214417744917,15.120147874306838,17.63401109057301
AAPL,2007-09-30,USD,6217000000.0,4127000000.0,2090000000.0,1030000000.0,1060000000.0,207000000.0,823000000.0,904000000.0,33.61750040212321,14.916820702402966,42.265446224256294,7.966457023060802,10.513447432762835,17.050024127392632,14.540775293549943,16.567476274730577
AAPL,2007-12-31,USD,9608000000.0,6276000000.0,3332000000.0,1206000000.0,2126000000.0,246000000.0,960000000.0,1581000000.0,34.67943380516236,54.54399227923437,35.03865073787773,17.087378640776695,74.88938053097345,22.127393838467942,16.45503746877602,12.552039966694423
AAPL,2008-03-31,USD,7512000000.0,5038000000.0,2474000000.0,1159000000.0,1315000000.0,273000000.0,886000000.0,1045000000.0,32.93397231096912,-21.815154038301422,42.70516717325228,-3.8971807628524036,-33.902593295382665,17.505324813631525,13.911075612353569,15.428647497337595
AAPL,2008-06-30,USD,7464000000.0,4864000000.0,2600000000.0,1208000000.0,1392000000.0,292000000.0,916000000.0,1072000000.0,34.83386923901393,-0.6389776357827448,37.96672828096119,4.227782571182059,2.583732057416266,18.64951768488746,14.362272240085744,16.184351554126476
